date,actual_sales,predicted_sales,absolute_error,promoted_items,is_holiday,is_event,is_special_work_day,day_of_week,forecast_bias_pct,wape_pct
2017-07-31,885856.8422,802659.7188,132062.5574,8649,0,0,0,Monday,-9.3917,14.9079
2017-08-01,988527.7625,913701.0697,149973.6335,10150,0,0,0,Tuesday,-7.5695,15.1714
2017-08-02,964712.0159,910333.4713,126251.5084,16524,0,0,0,Wednesday,-5.6368,13.0870
2017-08-03,728068.4853,765542.8402,108484.7999,7859,0,0,0,Thursday,5.1471,14.9004
2017-08-04,827775.6864,863340.1280,134638.3490,14193,0,0,0,Friday,4.2964,16.2651
2017-08-05,965693.6505,1046334.8481,148499.9603,8684,1,0,0,Saturday,8.3506,15.3775
2017-08-06,1049559.1631,1128451.2705,174126.5981,9565,0,0,0,Sunday,7.5167,16.5905
2017-08-07,797464.9641,813874.5454,97826.2597,8209,0,0,0,Monday,2.0577,12.2672
2017-08-08,717766.3489,730541.2002,98724.3567,10638,0,0,0,Tuesday,1.7798,13.7544
2017-08-09,734139.6749,759753.5133,95559.6396,16117,0,0,0,Wednesday,3.4890,13.0165
2017-08-10,651386.9114,650302.3083,95273.7958,7917,0,0,0,Thursday,-0.1665,14.6263
2017-08-11,826373.7203,858784.0202,153581.7937,14179,1,0,0,Friday,3.9220,18.5850
2017-08-12,792630.5358,949694.1179,226030.3444,8312,0,0,0,Saturday,19.8155,28.5165
2017-08-13,865639.6770,1016504.2329,205479.6343,9283,0,0,0,Sunday,17.4281,23.7373
2017-08-14,760922.4056,807153.5620,113400.2456,8043,0,0,0,Monday,6.0757,14.9030
2017-08-15,762661.9358,741336.1698,111554.8539,10605,1,0,0,Tuesday,-2.7962,14.6270
