family,actual_sales,predicted_sales,absolute_error,observation_count,forecast_error,forecast_bias_pct,wape_pct,error_contribution_pct
GROCERY I,3980412.4822,4009922.8018,552650.3748,864,29510.3196,0.7414,13.8842,25.4505
BEVERAGES,3005407.0000,3118601.6350,544909.4763,864,113194.6350,3.7664,18.1310,25.0941
PRODUCE,1977480.3767,2131833.9259,255297.0993,864,154353.5493,7.8056,12.9102,11.7569
CLEANING,1065243.0000,1096090.2212,231663.7740,864,30847.2212,2.8958,21.7475,10.6685
DAIRY,721034.0000,777988.8322,86983.3082,864,56954.8322,7.8990,12.0637,4.0057
BREAD/BAKERY,466795.5010,479287.1608,59963.8019,864,12491.6598,2.6760,12.8458,2.7614
HOME CARE,251893.0000,283384.4027,54945.6215,864,31491.4027,12.5019,21.8131,2.5303
MEATS,321070.5261,326778.9534,47378.6495,864,5708.4273,1.7779,14.7565,2.1819
PERSONAL CARE,277631.0000,269681.6084,46287.9707,864,-7949.3916,-2.8633,16.6725,2.1316
POULTRY,323560.2686,341719.0245,45213.6909,864,18158.7559,5.6122,13.9738,2.0822
SCHOOL AND OFFICE SUPPLIES,51795.0000,9946.5078,43679.7716,864,-41848.4922,-80.7964,84.3320,2.0115
DELI,261902.8940,282309.1228,37709.5009,864,20406.2288,7.7915,14.3983,1.7366
EGGS,172529.0000,174442.3272,34267.0791,864,1913.3272,1.1090,19.8616,1.5781
"LIQUOR,WINE,BEER",84091.0000,89945.7199,29707.9503,864,5854.7199,6.9624,35.3283,1.3681
FROZEN FOODS,110014.1580,112841.2590,21586.2495,864,2827.1010,2.5698,19.6213,0.9941
PREPARED FOODS,75871.6541,76751.9710,13386.6698,864,880.3169,1.1603,17.6438,0.6165
GROCERY II,25031.0000,28301.6683,10456.0155,864,3270.6683,13.0665,41.7723,0.4815
HOME AND KITCHEN II,26789.0000,26169.9867,9952.8362,864,-619.0133,-2.3107,37.1527,0.4583
HOME AND KITCHEN I,27020.0000,27235.4378,9530.0272,864,215.4378,0.7973,35.2703,0.4389
CELEBRATION,10768.0000,11644.6896,4700.7459,864,876.6896,8.1416,43.6548,0.2165
LAWN AND GARDEN,12908.0000,13202.1547,4498.4735,864,294.1547,2.2789,34.8503,0.2072
SEAFOOD,17260.9190,17672.5923,4375.0038,864,411.6733,2.3850,25.3463,0.2015
LADIESWEAR,8711.0000,10039.1322,3638.9594,864,1328.1322,15.2466,41.7743,0.1676
LINGERIE,6716.0000,6224.7497,3387.7452,864,-491.2503,-7.3146,50.4429,0.1560
PLAYERS AND ELECTRONICS,10084.0000,9771.7341,3151.0110,864,-312.2659,-3.0966,31.2476,0.1451
AUTOMOTIVE,6381.0000,6194.2133,2547.0494,864,-186.7867,-2.9272,39.9161,0.1173
MAGAZINES,6146.0000,5522.8243,2515.5347,864,-623.1757,-10.1395,40.9296,0.1158
PET SUPPLIES,7283.0000,6948.0996,2450.2093,864,-334.9004,-4.5984,33.6429,0.1128
BEAUTY,5757.0000,5330.3645,2370.2653,864,-426.6355,-7.4107,41.1719,0.1092
HARDWARE,1252.0000,1361.2987,1013.2422,864,109.2987,8.7299,80.9299,0.0467
HOME APPLIANCES,173.0000,492.2480,509.1870,864,319.2480,184.5364,294.3277,0.0234
BABY CARE,160.0000,341.2285,409.0107,864,181.2285,113.2678,255.6317,0.0188
BOOKS,9.0000,329.1205,332.0257,864,320.1205,3556.8949,3689.1746,0.0153
