feature,mae_increase,importance_std
sales_rolling_mean_7,207.8189,1.1142
family,100.1496,0.3326
sales_rolling_mean_28,73.0680,0.7791
sales_lag_21,36.6157,0.9788
sales_lag_28,32.3794,0.7946
day_of_month,10.9723,0.8536
onpromotion,4.5771,0.2679
store_nbr,3.6272,0.1688
day_of_week,2.4499,0.8838
is_national_holiday,2.0840,0.2397
sales_lag_16,1.0776,0.0639
week_of_year,0.1775,0.0172
is_holiday,0.0752,0.0223
oil_price,0.0145,0.0081
cluster,0.0024,0.0004
city,0.0000,0.0000
year,0.0000,0.0000
is_special_work_day,0.0000,0.0000
is_local_holiday,0.0000,0.0000
state,0.0000,0.0000
is_regional_holiday,0.0000,0.0000
is_event,0.0000,0.0000
type,-0.0002,0.0003
month,-0.1375,0.0217
is_weekend,-0.4518,0.0125
